Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot
2017,11,1104,70,1157,53,H,0
2017,11,1107,87,1336,81,A,0
2017,11,1112,65,1277,63,N,0
2017,11,1113,88,1340,70,H,0
2017,11,1116,92,1236,83,H,0
2017,11,1120,83,1316,66,H,0
2017,11,1123,85,1387,64,A,0
2017,11,1124,76,1331,61,H,0
2017,11,1127,68,1165,62,H,0
2017,11,1137,76,1264,64,H,0
2017,11,1138,76,1310,66,A,0
2017,11,1143,82,1355,53,H,0
2017,11,1148,75,1216,60,H,0
2017,11,1151,82,1397,69,A,0
2017,11,1153,84,1135,55,H,0
2017,11,1155,74,1208,64,H,0
2017,11,1158,81,1154,68,H,0
2017,11,1160,90,1170,53,H,0
2017,11,1162,73,1392,66,A,0
2017,11,1166,89,1282,82,H,0
2017,11,1173,96,1122,68,H,0
2017,11,1181,94,1265,49,H,0
2017,11,1182,65,1259,60,H,0
2017,11,1184,97,1237,87,H,0
2017,11,1187,72,1212,57,H,0
2017,11,1188,69,1218,68,A,0
2017,11,1190,96,1200,59,H,0
2017,11,1193,85,1357,63,H,0
2017,11,1196,80,1195,59,N,0
2017,11,1201,69,1427,66,H,0
2017,11,1203,75,1271,71,H,0
2017,11,1210,70,1399,55,H,0
2017,11,1211,92,1430,69,H,0
2017,11,1220,74,1164,72,H,0
2017,11,1222,93,1288,52,H,0
2017,11,1228,81,1369,62,H,0
2017,11,1231,103,1242,99,N,1
2017,11,1234,91,1244,74,H,0
2017,11,1235,113,1366,71,H,0
2017,11,1240,84,1409,73,A,0
2017,11,1243,82,1442,55,H,0
2017,11,1246,87,1372,64,H,0
2017,11,1257,78,1191,47,H,0
2017,11,1260,69,1108,44,H,0
2017,11,1266,95,1435,71,N,0
2017,11,1268,62,1110,56,H,0
2017,11,1269,90,1262,76,H,0
2017,11,1274,92,1441,43,H,0
2017,11,1276,76,1224,58,H,0
2017,11,1278,86,1418,74,H,0
2017,11,1279,86,1404,83,H,0
2017,11,1280,78,1313,74,H,0
2017,11,1283,96,1105,62,H,0
2017,11,1284,78,1180,65,H,0
2017,11,1293,73,1229,70,H,0
2017,11,1295,76,1117,66,H,0
2017,11,1296,80,1232,78,H,1
2017,11,1301,81,1204,79,H,0
2017,11,1307,81,1226,70,H,0
2017,11,1311,79,1130,73,A,0
2017,11,1314,95,1408,75,N,0
2017,11,1318,87,1131,77,H,0
2017,11,1321,94,1290,63,H,0
2017,11,1324,78,1132,70,H,0
2017,11,1326,78,1298,68,A,0
2017,11,1329,102,1144,65,H,0
2017,11,1330,62,1241,55,H,0
2017,11,1332,91,1119,77,H,0
2017,11,1333,78,1341,58,H,0
2017,11,1335,67,1352,50,A,0
2017,11,1337,77,1142,68,H,0
2017,11,1338,93,1185,90,H,2
2017,11,1339,71,1415,55,H,0
2017,11,1342,73,1202,71,H,0
2017,11,1345,109,1270,65,H,0
2017,11,1348,84,1171,61,H,0
2017,11,1350,72,1440,69,H,0
2017,11,1351,67,1214,56,A,0
2017,11,1361,69,1360,59,H,0
2017,11,1362,82,1227,80,H,0
2017,11,1365,67,1319,64,H,0
2017,11,1371,91,1192,70,H,0
2017,11,1374,72,1205,44,H,0
2017,11,1375,76,1424,68,A,0
2017,11,1376,85,1256,76,H,0
2017,11,1377,79,1179,74,A,0
2017,11,1378,84,1197,73,H,0
2017,11,1385,100,1126,53,H,0
2017,11,1388,81,1305,63,H,0
2017,11,1390,80,1217,70,N,0
2017,11,1393,83,1159,55,H,0
2017,11,1396,97,1247,92,H,1
2017,11,1398,78,1413,64,N,0
2017,11,1400,78,1230,73,H,0
2017,11,1401,72,1322,44,H,0
2017,11,1402,61,1194,57,N,0
2017,11,1403,93,1223,67,H,0
2017,11,1412,86,1115,66,H,0
2017,11,1417,119,1334,80,H,0
2017,11,1425,75,1285,61,H,0
2017,11,1429,72,1414,56,A,0
2017,11,1433,80,1421,65,H,0
2017,11,1434,79,1381,65,H,0
2017,11,1437,88,1248,48,H,0
2017,11,1438,76,1422,51,A,0
2017,11,1439,80,1263,67,H,0
2017,11,1447,67,1163,58,A,0
2017,11,1448,80,1347,59,H,0
2017,11,1450,69,1286,65,H,0
2017,11,1452,87,1291,59,H,0
2017,11,1455,85,1354,39,H,0
2017,11,1458,79,1146,47,H,0
2017,11,1460,85,1356,81,A,0
2017,11,1462,84,1250,81,H,0
2017,12,1139,89,1294,52,H,0
2017,12,1172,86,1111,74,H,0
2017,12,1181,96,1213,61,H,0
2017,12,1199,88,1149,67,H,0
2017,12,1207,105,1367,60,H,0
2017,12,1239,92,1176,84,A,0
2017,12,1245,79,1156,74,N,1
2017,12,1261,91,1459,69,H,0
2017,12,1267,81,1300,69,H,0
2017,12,1303,74,1364,60,A,0
2017,12,1323,89,1136,64,H,0
2017,12,1325,77,1380,67,H,0
2017,12,1382,92,1384,82,H,0
2017,12,1386,77,1405,76,H,0
2017,12,1398,69,1319,65,N,0
2017,12,1406,67,1206,61,A,0
2017,12,1413,63,1365,58,A,0
2017,12,1426,89,1411,82,H,0
2017,12,1436,94,1346,70,A,0
2017,12,1443,79,1106,66,H,0
2017,12,1464,90,1103,82,H,0
2017,13,1113,96,1142,74,H,0
2017,13,1135,88,1310,79,H,0
2017,13,1161,64,1308,61,H,0
2017,13,1168,106,1340,100,H,2
2017,13,1174,63,1133,49,A,0
2017,13,1177,78,1352,72,H,0
2017,13,1188,77,1194,68,N,0
2017,13,1196,76,1273,54,N,0
2017,13,1218,74,1402,68,H,0
2017,13,1228,79,1297,64,H,0
2017,13,1234,116,1366,84,H,0
2017,13,1246,93,1145,69,H,0
2017,13,1263,80,1255,58,A,0
2017,13,1276,77,1237,65,H,0
2017,13,1281,99,1105,44,H,0
2017,13,1283,91,1240,65,H,0
2017,13,1287,89,1252,75,H,0
2017,13,1301,86,1383,61,H,0
2017,13,1304,83,1170,61,H,0
2017,13,1314,97,1151,57,H,0
2017,13,1328,97,1322,61,H,0
2017,13,1333,72,1427,64,H,0
2017,13,1336,82,1182,74,H,0
2017,13,1349,94,1241,70,A,0
2017,13,1353,87,1180,66,H,0
2017,13,1371,82,1148,58,H,0
2017,13,1373,89,1165,78,H,0
2017,13,1374,91,1185,64,H,0
2017,13,1376,81,1221,49,H,0
2017,13,1377,78,1132,72,H,0
2017,13,1398,69,1365,61,A,0
2017,13,1404,88,1410,80,H,0
2017,13,1411,74,1175,61,A,0
2017,13,1413,89,1319,76,N,0
2017,13,1417,102,1169,87,H,0
2017,13,1420,77,1271,73,A,0
2017,13,1425,82,1303,72,H,0
2017,13,1448,94,1137,74,H,0
2017,13,1455,92,1253,55,H,0
2017,13,1463,98,1449,90,A,0
2017,14,1102,86,1239,68,H,0
2017,14,1116,90,1356,65,H,0
2017,14,1120,83,1209,65,H,0
2017,14,1140,82,1343,73,H,0
2017,14,1141,86,1399,74,A,0
2017,14,1150,100,1189,95,A,0
2017,14,1153,74,1107,51,H,0
2017,14,1158,71,1157,64,A,0
2017,14,1160,67,1370,55,H,0
2017,14,1187,61,1299,51,H,0
2017,14,1190,107,1178,78,H,0
2017,14,1191,82,1108,59,H,0
2017,14,1202,84,1412,74,A,0
2017,14,1208,60,1421,46,H,0
2017,14,1210,77,1380,62,H,0
2017,14,1211,69,1361,48,H,0
2017,14,1218,64,1194,63,H,0
2017,14,1235,73,1291,55,H,0
2017,14,1248,61,1389,57,A,0
2017,14,1257,91,1456,58,H,0
2017,14,1262,87,1447,76,H,0
2017,14,1266,81,1224,49,H,0
2017,14,1272,94,1410,75,H,0
2017,14,1278,84,1426,67,H,0
2017,14,1279,90,1269,88,H,0
2017,14,1286,84,1418,83,H,0
2017,14,1305,79,1258,64,H,0
2017,14,1306,57,1396,52,A,0
2017,14,1307,95,1223,79,H,0
2017,14,1318,64,1163,61,A,0
2017,14,1321,86,1186,72,H,0
2017,14,1324,77,1444,60,H,0
2017,14,1325,96,1358,75,H,0
2017,14,1326,69,1300,63,H,0
2017,14,1329,102,1146,90,H,0
2017,14,1330,64,1350,61,A,0
2017,14,1334,76,1453,58,H,0
2017,14,1338,99,1205,80,H,0
2017,14,1341,84,1201,78,A,0
2017,14,1344,80,1436,58,H,0
2017,14,1348,107,1265,65,H,0
2017,14,1359,83,1360,65,A,0
2017,14,1385,77,1127,61,H,0
2017,14,1386,85,1162,65,H,0
2017,14,1387,88,1381,76,H,0
2017,14,1391,82,1198,67,H,0
2017,14,1395,98,1106,62,H,0
2017,14,1400,80,1419,59,H,0
2017,14,1401,76,1110,53,H,0
2017,14,1402,86,1188,58,N,0
2017,14,1407,70,1183,67,H,0
2017,14,1408,93,1368,76,H,0
2017,14,1414,73,1355,58,H,0
2017,14,1416,80,1311,56,H,0
2017,14,1422,61,1342,42,H,0
2017,14,1423,78,1184,69,A,1
2017,14,1429,93,1312,84,H,0
2017,14,1434,78,1164,58,H,0
2017,14,1437,79,1345,76,A,0
2017,14,1452,107,1290,66,H,0
2017,14,1461,73,1285,72,A,0
2017,14,1462,86,1138,53,H,0
2017,15,1112,78,1167,66,H,0
2017,15,1124,66,1332,49,H,0
2017,15,1130,73,1271,57,H,0
2017,15,1156,67,1145,64,H,0
2017,15,1166,79,1458,67,H,0
2017,15,1173,77,1104,72,A,0
2017,15,1193,79,1171,62,A,0
2017,15,1199,99,1233,78,H,0
