Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2017,11,1104,70,1157,53,H,0,21,48,10,26,18,26,7,32,13,11,8,8,19,17,62,9,23,10,16,17,26,7,13,2,2,22
2017,11,1107,87,1336,81,A,0,30,61,7,14,20,25,12,31,16,15,4,3,22,27,63,9,25,18,22,6,20,9,12,7,8,23
2017,11,1112,65,1277,63,N,0,20,52,5,14,20,27,12,22,7,14,12,2,20,25,58,8,25,5,9,12,22,15,18,4,1,23
2017,11,1113,88,1340,70,H,0,33,67,9,28,13,18,12,35,11,16,7,3,15,26,67,6,27,12,15,9,24,14,14,5,1,20
2017,11,1116,92,1236,83,H,0,35,66,6,16,16,24,10,29,20,13,9,9,29,25,69,9,28,24,40,21,24,12,12,5,2,24
2017,11,1120,83,1316,66,H,0,25,60,13,32,20,31,11,25,17,17,11,6,21,22,57,6,20,16,24,14,28,10,28,2,2,30
2017,11,1123,85,1387,64,A,0,30,58,13,23,12,15,9,29,21,17,5,4,21,21,59,4,16,18,28,13,21,8,16,7,4,22
2017,11,1124,76,1331,61,H,0,24,54,10,26,18,26,10,26,18,11,9,5,18,24,58,3,13,10,14,9,24,13,14,3,0,19
2017,11,1127,68,1165,62,H,0,23,58,7,19,15,23,5,34,10,10,5,4,20,22,63,4,29,14,20,9,34,9,12,2,4,19
2017,11,1137,76,1264,64,H,0,25,52,7,18,19,32,7,24,18,15,14,6,20,22,62,8,22,12,19,19,26,11,24,10,2,26
2017,11,1138,76,1310,66,A,0,29,55,8,20,10,17,8,27,20,17,8,8,23,22,55,6,16,16,22,10,23,5,16,10,2,19
2017,11,1143,82,1355,53,H,0,30,64,12,32,10,13,15,39,16,15,6,10,20,16,56,8,30,13,16,4,22,12,12,6,1,13
2017,11,1148,75,1216,60,H,0,30,64,6,14,9,17,13,35,24,14,3,4,18,25,61,5,22,5,15,7,26,11,13,6,3,18
2017,11,1151,82,1397,69,A,0,27,58,5,18,23,33,12,24,12,14,9,3,26,19,58,1,16,30,40,19,23,4,18,3,7,24
2017,11,1153,84,1135,55,H,0,33,57,6,22,12,20,12,31,23,12,10,9,16,18,57,10,25,9,14,11,12,10,14,3,1,21
2017,11,1155,74,1208,64,H,0,27,62,7,22,13,16,10,24,10,8,4,5,18,26,61,5,15,7,11,13,27,14,14,5,5,20
2017,11,1158,81,1154,68,H,0,25,59,4,16,27,42,15,28,7,17,11,3,20,20,67,7,33,21,23,19,27,8,22,4,3,29
2017,11,1160,90,1170,53,H,0,32,60,13,21,13,18,10,37,20,10,1,7,16,20,68,2,22,11,21,17,23,4,9,3,2,23
2017,11,1162,73,1392,66,A,0,26,54,10,25,11,13,8,27,10,14,4,5,21,24,67,6,23,12,21,20,22,7,10,7,5,15
2017,11,1166,89,1282,82,H,0,30,59,10,25,19,28,10,27,19,17,4,3,19,30,69,9,19,13,15,12,23,13,13,11,2,22
2017,11,1173,96,1122,68,H,0,37,68,13,32,9,15,11,27,19,9,7,4,22,22,56,7,22,17,23,11,25,10,17,1,1,16
2017,11,1181,94,1265,49,H,0,30,68,8,22,26,37,16,40,13,10,9,7,21,15,65,3,25,16,19,8,25,8,14,5,0,22
2017,11,1182,65,1259,60,H,0,24,58,2,13,15,23,13,30,9,16,6,12,20,23,63,6,18,8,17,14,25,15,15,6,8,20
2017,11,1184,97,1237,87,H,0,21,52,10,25,45,56,10,27,11,13,3,3,28,29,66,9,25,20,27,12,25,14,14,3,5,37
2017,11,1187,72,1212,57,H,0,23,45,5,9,21,33,11,26,13,13,8,6,16,21,60,8,18,7,9,15,19,11,17,7,2,31
