"Season","Rank","Team","Conf","W-L","AdjEM","AdjO","AdjD","AdjT","Luck","schedule_AdjEM","schedule_OppO","schedule_OppD","conf_AdjEM","TeamID","alternative_spelling","match_rating"
2002,"1","duke","ACC","31-4",34.19,121,86.8,74.5,-0.027,9.87,109.3,99.5,6.66,1181,"duke",1
2002,"2","cincinnati","CUSA","31-4",30.19,118.1,87.9,67.4,0.002,6.58,106.5,100,3.48,1153,"cincinnati",1
2002,"3","maryland","ACC","32-4",29.25,119.2,89.9,73.7,0.025,9.88,109.4,99.5,1.62,1268,"maryland",1
2002,"4","kansas","B12","33-4",28.99,118.7,89.7,77.3,0.022,10.67,110.5,99.9,8.32,1242,"kansas",1
2002,"5","oklahoma","B12","31-5",26.04,114.9,88.9,66.5,0.043,8.77,109.2,100.4,-0.44,1328,"oklahoma",1
2002,"6","indiana","B10","25-12",24.8,114,89.2,65.6,-0.049,14.12,111.1,96.9,13.54,1231,"indiana",1
2002,"7","florida","SEC","22-9",24.72,115.1,90.4,69.6,-0.073,9.11,108.3,99.2,-0.56,1196,"florida",1
2002,"8","illinois","B10","26-9",23.21,115.7,92.5,68.5,0.016,10.6,110,99.4,6.79,1228,"illinois",1
2002,"9","oregon","P10","26-9",22.97,119.2,96.3,71.1,-0.041,8.15,108.3,100.2,-3.3,1332,"oregon",1
2002,"10","kentucky","SEC","22-10",22.21,113.4,91.2,68,-0.029,12.97,110.3,97.4,6.75,1246,"kentucky",1
2002,"11","marquette","CUSA","26-7",21.47,113.4,91.9,64.6,0.006,5.41,105.7,100.3,-2.87,1266,"marquette",1
2002,"12","usc","P10","22-10",20.67,112.8,92.1,70.1,-0.051,9.31,109.4,100.1,1.9,1425,"usc",1
2002,"13","arizona","P10","24-10",20.54,119.3,98.8,71.1,0.079,14.22,111.5,97.3,17.56,1112,"arizona",1
2002,"14","kent st.","MAC","29-6",20.39,116.7,96.4,64.7,0.008,3.11,106.3,103.2,2.99,1245,"kent st.",1
2002,"15","stanford","P10","20-10",20.32,116.6,96.3,69.5,-0.02,10.33,110.4,100.1,2.1,1390,"stanford",1
2002,"16","pittsburgh","BE","29-6",19.94,112.1,92.2,63.8,0,3.12,103.9,100.8,-12.07,1338,"pittsburgh",1
2002,"17","ohio st.","B10","24-8",19.76,116.4,96.6,66.8,0.005,7.51,106.8,99.3,-1.26,1326,"ohio st.",1
2002,"18","connecticut","BE","27-7",19.36,112.2,92.8,68.7,0.063,8.19,107.5,99.3,1.73,1163,"connecticut",1
2002,"19","notre dame","BE","21-11",19.27,116.1,96.8,68.6,-0.087,7.34,105.6,98.3,-1.55,1323,"notre dame",1
2002,"20","south carolina","SEC","21-15",19.18,107,87.9,65.3,-0.074,10.28,108.7,98.4,-0.78,1376,"south carolina",1
2002,"21","north carolina st.","ACC","23-11",19.15,113.2,94,67.5,0.012,8.28,108.8,100.6,-5.56,1301,"north carolina st.",1
2002,"22","alabama","SEC","27-8",18.73,114,95.3,68,0.076,8.59,107.4,98.8,-1.56,1104,"alabama",1
2002,"23","xavier","A10","26-6",18.6,111.2,92.6,67,0.051,5.1,106.9,101.8,5.37,1462,"xavier",1
2002,"24","gonzaga","WCC","28-4",18.51,115.6,97.1,68.5,0.049,1.13,104,102.8,4.04,1211,"gonzaga",1
2002,"25","georgia","SEC","22-9",18.44,116.7,98.3,69.2,-0.021,9.88,108.3,98.4,3.3,1208,"georgia",1
2002,"26","mississippi st.","SEC","27-8",18.25,111.4,93.1,67.9,0.107,8.93,106.9,98,-0.96,1280,"mississippi st.",1
2002,"27","texas","B12","22-12",17.69,116,98.3,68.5,-0.021,10.18,109.3,99.1,5.3,1400,"texas",1
2002,"28","butler","Horz","26-6",17.63,111.9,94.3,62.1,-0.051,-1.43,103.3,104.7,-4.63,1139,"butler",1
2002,"29","missouri","B12","24-12",17.49,116.2,98.7,70.1,-0.01,7.92,108.2,100.3,-0.39,1281,"missouri",1
2002,"30","wake forest","ACC","21-13",17.35,118.6,101.3,69.5,0.006,11.24,109.3,98.1,5.85,1448,"wake forest",1
2002,"31","texas tech","B12","23-9",17.24,114.6,97.4,69.8,0.061,6.69,107.1,100.4,-0.13,1403,"texas tech",1
2002,"32","michigan st.","B10","19-12",16.86,113,96.2,63.3,-0.026,9.76,108.7,99,1.5,1277,"michigan st.",1
2002,"33","memphis","CUSA","27-9",16.69,112.5,95.8,70.8,-0.008,3.63,105.1,101.5,-1.69,1272,"memphis",1
2002,"34","mississippi","SEC","19-11",16.68,113.3,96.7,64.7,-0.04,7.32,106.1,98.8,-6.24,1279,"mississippi",1
2002,"35","ucla","P10","21-12",16.34,113.7,97.3,68.1,0.048,12,110.3,98.3,8.58,1417,"ucla",1
2002,"36","georgetown","BE","18-11",16.13,110.6,94.5,71.1,-0.094,5.31,105.2,99.9,-10.2,1207,"georgetown",1
2002,"37","california","P10","23-9",16.03,109.8,93.7,66.6,0.088,7.89,108.1,100.2,-5.85,1143,"california",1
2002,"38","oklahoma st.","B12","23-9",15.8,107.9,92.1,66,0.047,7.11,108.1,101,0.53,1329,"oklahoma st.",1
2002,"39","miami fl","BE","24-8",15.77,110.5,94.7,69.1,0.017,5.75,105.2,99.5,-5.04,1274,"miami fl",1
2002,"40","charlotte","CUSA","18-12",15.73,114.2,98.5,66.8,-0.008,9.24,107.5,98.3,6.49,1150,"charlotte",1
2002,"41","tulsa","WAC","26-7",15.59,116,100.4,69.5,0.001,2.03,103.9,101.9,-1.44,1409,"tulsa",1
2002,"42","dayton","A10","21-11",15.53,112.9,97.4,66.6,-0.042,2.83,104.7,101.9,1.31,1173,"dayton",1
2002,"43","minnesota","B10","18-13",14.54,113.5,99,68.9,-0.045,7.29,107.6,100.3,1.34,1278,"minnesota",1
2002,"44","western kentucky","SB","26-4",14.51,110.5,96,67.5,0.06,0.23,103.3,103,0.29,1443,"western kentucky",1
2002,"45","utah","MWC","19-9",14.08,111.4,97.3,62.1,0.01,5.38,106.4,101,1.57,1428,"utah",1
2002,"46","iowa","B10","19-16",13.66,110.4,96.8,69,-0.06,8.62,108.5,99.9,1.48,1234,"iowa",1
2002,"47","valparaiso","MCon","24-8",13.63,111.5,97.8,68.7,-0.032,-1.66,103.2,104.8,2.06,1434,"valparaiso",1
