season,daynum,wteam,lteam,slot,host,lat,lng
1985,136,1207,1250,R1W1,hartford,41.7627,-72.6743
1985,136,1260,1233,R1W4,hartford,41.7627,-72.6743
1985,136,1374,1330,R1W5,hartford,41.7627,-72.6743
1985,136,1396,1439,R1W8,hartford,41.7627,-72.6743
1985,136,1385,1380,R1X1,tulsa,36.1314,-95.9372
1985,136,1424,1361,R1X4,tulsa,36.1314,-95.9372
1985,136,1246,1449,R1X5,tulsa,36.1314,-95.9372
1985,136,1116,1234,R1X8,tulsa,36.1314,-95.9372
1985,136,1328,1299,R1Y1,dayton,39.7594,-84.1917
1985,136,1326,1235,R1Y4,dayton,39.7594,-84.1917
1985,136,1256,1338,R1Y5,dayton,39.7594,-84.1917
1985,136,1229,1425,R1Y8,dayton,39.7594,-84.1917
1985,136,1314,1292,R1Z2,albuquerque,35.1107,-106.61
1985,136,1242,1325,R1Z3,albuquerque,35.1107,-106.61
1985,136,1120,1345,R1Z6,albuquerque,35.1107,-106.61
1985,136,1323,1333,R1Z7,albuquerque,35.1107,-106.61
1985,137,1210,1273,R1W2,atlanta,33.755,-84.39
1985,137,1228,1318,R1W3,atlanta,33.755,-84.39
1985,137,1208,1455,R1W6,atlanta,33.755,-84.39
1985,137,1393,1177,R1W7,atlanta,33.755,-84.39
1985,137,1433,1267,R1X2,houston,29.7604,-95.3698
1985,137,1301,1305,R1X3,houston,29.7604,-95.3698
1985,137,1431,1409,R1X6,houston,29.7604,-95.3698
1985,137,1104,1112,R1X7,houston,29.7604,-95.3698
1985,137,1272,1335,R1Y2,south_bend,41.6725,-86.2553
1985,137,1181,1337,R1Y3,south_bend,41.6725,-86.2553
1985,137,1130,1403,R1Y6,south_bend,41.6725,-86.2553
1985,137,1412,1277,R1Y7,south_bend,41.6725,-86.2553
1985,137,1276,1192,R1Z1,salt_lake_city,40.75,-111.8833
1985,137,1298,1261,R1Z4,salt_lake_city,40.75,-111.8833
1985,137,1268,1275,R1Z5,salt_lake_city,40.75,-111.8833
1985,137,1437,1173,R1Z8,salt_lake_city,40.75,-111.8833
1985,138,1207,1396,R2W1,hartford,41.7627,-72.6743
1985,138,1260,1374,R2W4,hartford,41.7627,-72.6743
1985,138,1385,1116,R2X1,tulsa,36.1314,-95.9372
1985,138,1246,1424,R2X4,tulsa,36.1314,-95.9372
