Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2010,138,3124,69,3201,55,N,0,28,57,1,5,12,19,13,24,22,12,6,2,12,21,61,10,34,3,5,17,19,12,18,4,1,18
2010,138,3173,67,3395,66,N,0,23,59,9,26,12,19,13,34,13,16,3,10,14,22,73,8,27,14,15,18,26,8,8,8,6,22
2010,138,3181,72,3214,37,H,0,26,57,4,13,16,22,13,34,15,11,10,7,11,15,56,4,15,3,8,10,21,4,16,6,4,20
2010,138,3199,75,3256,61,H,0,25,63,3,15,22,26,20,27,13,17,8,3,21,21,62,2,20,17,22,16,21,13,16,5,4,24
2010,138,3207,62,3265,42,N,0,24,68,8,25,6,8,20,29,16,8,5,5,18,13,60,5,26,11,17,16,22,9,10,3,4,12
2010,138,3208,64,3408,59,N,0,21,50,6,15,16,24,16,31,15,23,7,7,12,23,69,10,35,3,8,17,17,11,12,11,3,20
2010,138,3211,82,3314,76,H,0,36,75,6,17,4,8,11,31,23,16,11,6,12,30,78,4,18,12,18,17,31,15,18,12,5,16
2010,138,3234,70,3353,63,N,0,19,44,10,23,22,28,10,29,12,18,4,1,11,27,61,3,10,6,12,11,18,13,13,10,2,21
2010,138,3246,83,3251,77,H,0,25,49,7,11,26,36,9,17,15,15,16,2,17,32,64,2,9,11,16,17,21,8,22,8,1,25
2010,138,3261,60,3216,39,N,0,18,56,1,7,23,30,20,29,9,14,7,4,9,16,54,3,17,4,7,11,25,12,17,7,5,20
2010,138,3277,72,3132,62,N,0,28,68,4,16,12,14,15,27,16,10,8,2,20,19,51,11,22,13,22,10,25,12,16,5,1,15
2010,138,3329,70,3151,63,N,0,27,70,0,15,16,23,15,28,19,10,13,3,14,23,60,10,34,7,11,11,32,12,23,4,1,17
2010,138,3385,65,3343,47,N,0,27,59,1,10,10,18,14,28,7,12,11,1,14,17,60,1,10,12,15,16,25,9,16,5,3,15
2010,138,3390,79,3415,47,H,0,27,61,6,19,19,25,16,28,11,8,6,1,11,19,50,6,22,3,10,6,23,9,15,1,2,16
2010,138,3397,75,3122,42,H,0,31,67,5,19,8,13,21,26,18,13,6,5,14,16,53,3,14,7,9,11,17,4,20,4,3,13
2010,138,3401,84,3340,53,N,0,31,62,3,10,19,32,15,33,21,11,14,2,11,21,63,9,27,2,4,10,22,8,20,9,4,19
2010,139,3114,63,3210,53,N,0,20,47,6,13,17,26,9,26,15,17,11,2,14,23,62,1,7,6,8,15,23,7,16,9,4,20
