ID,Pred
2019_3101_3113,0.5
2019_3101_3114,0.5
2019_3101_3120,0.5
2019_3101_3124,0.5
2019_3101_3125,0.5
2019_3101_3126,0.5
2019_3101_3129,0.5
2019_3101_3137,0.5
2019_3101_3138,0.5
2019_3101_3140,0.5
2019_3101_3141,0.5
2019_3101_3143,0.5
2019_3101_3155,0.5
2019_3101_3163,0.5
2019_3101_3177,0.5
2019_3101_3179,0.5
2019_3101_3195,0.5
2019_3101_3199,0.5
2019_3101_3200,0.5
2019_3101_3211,0.5
2019_3101_3231,0.5
2019_3101_3234,0.5
2019_3101_3235,0.5
2019_3101_3243,0.5
2019_3101_3246,0.5
2019_3101_3257,0.5
2019_3101_3263,0.5
2019_3101_3266,0.5
2019_3101_3268,0.5
2019_3101_3273,0.5
2019_3101_3274,0.5
2019_3101_3276,0.5
2019_3101_3277,0.5
2019_3101_3280,0.5
2019_3101_3281,0.5
2019_3101_3283,0.5
2019_3101_3301,0.5
2019_3101_3308,0.5
2019_3101_3314,0.5
2019_3101_3323,0.5
2019_3101_3332,0.5
2019_3101_3333,0.5
2019_3101_3340,0.5
2019_3101_3343,0.5
2019_3101_3346,0.5
2019_3101_3347,0.5
2019_3101_3349,0.5
2019_3101_3352,0.5
2019_3101_3353,0.5
2019_3101_3355,0.5
2019_3101_3376,0.5
2019_3101_3377,0.5
2019_3101_3380,0.5
2019_3101_3390,0.5
2019_3101_3393,0.5
2019_3101_3397,0.5
2019_3101_3400,0.5
2019_3101_3401,0.5
2019_3101_3406,0.5
2019_3101_3413,0.5
2019_3101_3416,0.5
2019_3101_3417,0.5
2019_3101_3460,0.5
2019_3113_3114,0.5
2019_3113_3120,0.5
2019_3113_3124,0.5
2019_3113_3125,0.5
2019_3113_3126,0.5
2019_3113_3129,0.5
2019_3113_3137,0.5
2019_3113_3138,0.5
2019_3113_3140,0.5
2019_3113_3141,0.5
2019_3113_3143,0.5
2019_3113_3155,0.5
2019_3113_3163,0.5
2019_3113_3177,0.5
2019_3113_3179,0.5
2019_3113_3195,0.5
2019_3113_3199,0.5
2019_3113_3200,0.5
2019_3113_3211,0.5
2019_3113_3231,0.5
2019_3113_3234,0.5
2019_3113_3235,0.5
2019_3113_3243,0.5
2019_3113_3246,0.5
2019_3113_3257,0.5
2019_3113_3263,0.5
2019_3113_3266,0.5
2019_3113_3268,0.5
2019_3113_3273,0.5
2019_3113_3274,0.5
2019_3113_3276,0.5
2019_3113_3277,0.5
2019_3113_3280,0.5
2019_3113_3281,0.5
2019_3113_3283,0.5
2019_3113_3301,0.5
2019_3113_3308,0.5
2019_3113_3314,0.5
2019_3113_3323,0.5
2019_3113_3332,0.5
2019_3113_3333,0.5
2019_3113_3340,0.5
2019_3113_3343,0.5
2019_3113_3346,0.5
2019_3113_3347,0.5
2019_3113_3349,0.5
2019_3113_3352,0.5
2019_3113_3353,0.5
2019_3113_3355,0.5
2019_3113_3376,0.5
2019_3113_3377,0.5
2019_3113_3380,0.5
2019_3113_3390,0.5
2019_3113_3393,0.5
2019_3113_3397,0.5
2019_3113_3400,0.5
2019_3113_3401,0.5
2019_3113_3406,0.5
2019_3113_3413,0.5
2019_3113_3416,0.5
2019_3113_3417,0.5
2019_3113_3460,0.5
2019_3114_3120,0.5
2019_3114_3124,0.5
2019_3114_3125,0.5
2019_3114_3126,0.5
2019_3114_3129,0.5
2019_3114_3137,0.5
2019_3114_3138,0.5
2019_3114_3140,0.5
2019_3114_3141,0.5
2019_3114_3143,0.5
2019_3114_3155,0.5
2019_3114_3163,0.5
2019_3114_3177,0.5
2019_3114_3179,0.5
2019_3114_3195,0.5
2019_3114_3199,0.5
2019_3114_3200,0.5
2019_3114_3211,0.5
2019_3114_3231,0.5
2019_3114_3234,0.5
2019_3114_3235,0.5
2019_3114_3243,0.5
2019_3114_3246,0.5
2019_3114_3257,0.5
2019_3114_3263,0.5
2019_3114_3266,0.5
2019_3114_3268,0.5
2019_3114_3273,0.5
2019_3114_3274,0.5
2019_3114_3276,0.5
2019_3114_3277,0.5
2019_3114_3280,0.5
2019_3114_3281,0.5
2019_3114_3283,0.5
2019_3114_3301,0.5
2019_3114_3308,0.5
2019_3114_3314,0.5
2019_3114_3323,0.5
2019_3114_3332,0.5
2019_3114_3333,0.5
2019_3114_3340,0.5
2019_3114_3343,0.5
