Season,DayZero,RegionW,RegionX,RegionY,RegionZ
1998,10/27/1997,East,Midwest,Mideast,West
1999,10/26/1998,East,Mideast,Midwest,West
2000,11/1/1999,East,Midwest,Mideast,West
2001,10/30/2000,East,Midwest,Mideast,West
2002,10/29/2001,East,West,Mideast,Midwest
2003,11/4/2002,East,West,Mideast,Midwest
2004,11/3/2003,East,Mideast,Midwest,West
2005,11/1/2004,Chattanooga,Tempe,KansasCity,Philadelphia
2006,10/31/2005,Albuquerque,Cleveland,Bridgeport,San Antonio
2007,10/30/2006,Dallas,Dayton,Fresno,Greensboro
2008,11/5/2007,Greensboro,Spokane,NewOrleans,OklahomaCity
2009,11/3/2008,Berkeley,Trenton,OklahomaCity,Raleigh
2010,11/2/2009,Dayton,Memphis,KansasCity,Sacramento
2011,11/1/2010,Dallas,Spokane,Dayton,Philadelphia
2012,10/31/2011,DesMoines,Fresno,Kingston,Raleigh
2013,11/5/2012,Bridgeport,Norfolk,OklahomaCity,Spokane
2014,11/4/2013,Lincoln,Stanford,Louisville,NotreDame
2015,11/3/2014,Albany,Spokane,Greensboro,OklahomaCity
2016,11/2/2015,Bridgeport,Dallas,Lexington,SiouxFalls
2017,10/31/2016,Bridgeport,OklahomaCity,Lexington,Stockton
2018,10/30/2017,Albany,Spokane,KansasCity,Lexington
2019,11/5/2018,TBD1,TBD2,TBD3,TBD4
