TeamNameSpelling,TeamID
a&m-corpus chris,3394
a&m-corpus christi,3394
abilene chr,3101
abilene christian,3101
abilene-christian,3101
air force,3102
air-force,3102
akron,3103
alabama,3104
alabama a&m,3105
alabama st,3106
alabama st.,3106
alabama state,3106
alabama-am,3105
alabama-birmingham,3412
alabama-st,3106
alabama-state,3106
albany,3107
albany (ny),3107
albany ny,3107
albany-ny,3107
alcorn,3108
alcorn st,3108
alcorn st.,3108
alcorn state,3108
alcorn-state,3108
alliant international,3109
alliant intl,3109
am-corpus-chris,3394
american,3110
american u.,3110
american univ,3110
american university,3110
american-university,3110
appalachian st,3111
appalachian st.,3111
appalachian state,3111
appalachian-st,3111
appalachian-state,3111
arizona,3112
arizona st,3113
arizona st.,3113
arizona state,3113
arizona-st,3113
arizona-state,3113
ark little rock,3114
ark pine bluff,3115
ark.-pine bluff,3115
arkansas,3116
arkansas st,3117
arkansas st.,3117
arkansas state,3117
arkansas-little rock,3114
arkansas-little-rock,3114
arkansas-pine bluff,3115
arkansas-pine-bluff,3115
arkansas-st,3117
arkansas-state,3117
ark-pine-bluff,3115
armstrong,3118
armstrong st,3118
army,3119
army west point,3119
army-west-point,3119
auburn,3120
augusta,3121
augusta state,3121
austin peay,3122
austin-peay,3122
bakersfield,3167
ball st,3123
ball st.,3123
ball state,3123
ball-st,3123
ball-state,3123
baylor,3124
belmont,3125
bethune-cookman,3126
binghamton,3127
birmingham so,3128
birmingham southern,3128
birmingham-southern,3128
boise st,3129
boise st.,3129
boise state,3129
boise-st,3129
boise-state,3129
boston,3131
boston college,3130
boston u,3131
boston u.,3131
boston univ,3131
boston university,3131
boston-college,3130
boston-u,3131
boston-university,3131
bowling green,3132
bowling green state,3132
bowling-green,3132
bowling-green-state,3132
bradley,3133
brigham young,3140
brigham-young,3140
brooklyn,3134
brown,3135
bryant,3136
bryant university,3136
bucknell,3137
buffalo,3138
butler,3139
byu,3140
c michigan,3141
cal baptist,3465
cal poly,3142
cal poly slo,3142
cal riverside,3415
cal st. fullerton,3168
cal st. northridge,3169
cal state bakersfield,3167
cal state fullerton,3168
cal state northridge,3169
cal state-fullerton,3168
cal. state - bakersfield,3167
california,3143
california baptist,3465
california-davis,3413
california-irvine,3414
california-riverside,3415
california-santa barbara,3364
california-santa-barbara,3364
cal-poly,3142
cal-state-bakersfield,3167
cal-state-fullerton,3168
cal-state-northridge,3169
cal-st-fullerton,3168
campbell,3144
canisius,3145
cent arkansas,3146
centenary,3147
centenary (la),3147
centenary-la,3147
central ark.,3146
central arkansas,3146
central conn,3148
central conn. st.,3148
central connecticut,3148
central connecticut state,3148
central florida,3416
central florida(ucf),3416
central mich.,3141
central michigan,3141
central-ark,3146
central-arkansas,3146
central-connecticut-state,3148
central-conn-st,3148
central-florida,3416
central-mich,3141
central-michigan,3141
charleston,3158
charleston so,3149
charleston so.,3149
charleston southern,3149
charleston-so,3149
charleston-southern,3149
charlotte,3150
chattanooga,3151
chicago st,3152
chicago st.,3152
chicago state,3152
chicago-st,3152
chicago-state,3152
cincinnati,3153
citadel,3154
clemson,3155
cleveland st,3156
cleveland st.,3156
cleveland state,3156
cleveland-st,3156
cleveland-state,3156
coastal car,3157
coastal caro.,3157
coastal carolina,3157
coastal-caro,3157
coastal-carolina,3157
col charleston,3158
col. of charleston,3158
colgate,3159
college of charlesto,3158
college of charleston,3158
college-of-charleston,3158
col-of-charleston,3158
colorado,3160
colorado st,3161
colorado st.,3161
colorado state,3161
colorado-st,3161
colorado-state,3161
columbia,3162
connecticut,3163
coppin st,3164
coppin st.,3164
coppin state,3164
coppin-st,3164
coppin-state,3164
cornell,3165
creighton,3166
cs bakersfield,3167
cs fullerton,3168
cs northridge,3169
cs sacramento,3170
csu bakersfield,3167
csu northridge,3169
csu-bakersfield,3167
csun,3169
dartmouth,3171
davidson,3172
dayton,3173
delaware,3174
delaware st,3175
delaware st.,3175
delaware state,3175
delaware-st,3175
delaware-state,3175
denver,3176
depaul,3177
detroit,3178
detroit mercy,3178
detroit-mercy,3178
drake,3179
drexel,3180
duke,3181
duquesne,3182
e illinois,3183
e kentucky,3184
e michigan,3185
e washington,3186
east carolina,3187
east tenn. st.,3190
east tennessee st.,3190
east tennessee state,3190
east-carolina,3187
eastern ill.,3183
eastern illinois,3183
eastern kentucky,3184
eastern ky.,3184
eastern mich.,3185
eastern michigan,3185
eastern wash.,3186
eastern washington,3186
eastern-ill,3183
eastern-illinois,3183
eastern-kentucky,3184
eastern-ky,3184
eastern-mich,3185
eastern-michigan,3185
eastern-wash,3186
eastern-washington,3186
east-tennessee-state,3190
edwardsville,3188
elon,3189
elon university,3189
estern carolina,3441
etsu,3190
evansville,3191
f dickinson,3192
fairfield,3193
fairleigh dickinson,3192
fairleigh-dickinson,3192
fgcu,3195
fiu,3198
fl atlantic,3194
fl gulf coast,3195
fla. atlantic,3194
fla-atlantic,3194
florida,3196
florida a&m,3197
florida atlantic,3194
florida gulf coast,3195
florida internationa,3198
florida international,3198
florida intl,3198
florida st,3199
florida st.,3199
florida state,3199
florida-am,3197
florida-atlantic,3194
florida-gulf-coast,3195
florida-international,3198
florida-st,3199
florida-state,3199
fordham,3200
fort wayne,3236
fort wayne(ipfw),3236
fort-wayne,3236
fresno st,3201
fresno st.,3201
fresno state,3201
fresno-st,3201
fresno-state,3201
furman,3202
g washington,3203
ga southern,3204
ga. southern,3204
gardner webb,3205
gardner-webb,3205
ga-southern,3204
george mason,3206
george washington,3203
george-mason,3206
georgetown,3207
george-washington,3203
georgia,3208
georgia southern,3204
georgia st,3209
georgia st.,3209
georgia state,3209
georgia tech,3210
georgia-southern,3204
georgia-st,3209
georgia-state,3209
georgia-tech,3210
gonzaga,3211
grambling,3212
grambling st.,3212
grambling state,3212
grambling-state,3212
grand canyon,3213
grand-canyon,3213
green bay,3453
green-bay,3453
hampton,3214
hardin-simmons,3215
hartford,3216
harvard,3217
hawaii,3218
hawai'i,3218
high point,3219
high-point,3219
hofstra,3220
holy cross,3221
holy-cross,3221
houston,3222
houston bap,3223
houston baptist,3223
houston-baptist,3223
howard,3224
idaho,3225
