game_date	home_team	home_team_id	away_team	away_team_id	home_score	away_score	home_conf	away_conf	game_type	spread	over_under	line_moves
2010-11-25	Texas A&M	1401	Boston College	1130	65	67	Southeastern	Atlantic Coast	Regular Season	-6	136	13
2010-11-25	CS Northridge	1169	Virginia Tech	1439	56	72	Big West	Atlantic Coast	Regular Season	17.5	139	4
2010-11-25	Manhattan	1264	Wisconsin	1458	35	50	Metro Atlantic Athletic	Big Ten	Regular Season	19	132.5	15
2010-11-25	Oklahoma St	1329	DePaul	1177	60	56	Big 12	Big East	Regular Season	-10	146	11
2010-11-25	Notre Dame	1323	Georgia	1208	89	83	Atlantic Coast	Southeastern	Regular Season	-5.5	142	12
2010-11-25	California	1143	Temple	1396	57	50	Pacific-12	American Athletic Conference	Regular Season	5.5	135	21
2010-11-25	Stanford	1390	Murray St	1293	52	55	Pacific-12	Ohio Valley	Regular Season	2.5	137	11
2010-11-25	Arizona St	1113	Houston Bap	1223	73	55	Pacific-12	Southland	Regular Season	-20.5	140	9
2010-11-25	UNLV	1424	Tulsa	1409	80	71	Mountain West	American Athletic Conference	Regular Season	-8	139.5	9
2010-11-25	Alaska - Anchorage	-1	Weber St	1451	54	86		Big Sky	Regular Season	9.5	134	7
2010-11-26	Wisconsin	1458	Boston College	1130	65	55	Big Ten	Atlantic Coast	Regular Season	-7.5	125.5	6
2010-11-26	GA Southern	1204	Chicago St	1152	59	64	Sun Belt	Western Athletic	Regular Season			
2010-11-26	Austin Peay	1122	Charleston So	1149	70	64	Ohio Valley	Big South	Regular Season	-6.5	140	3
2010-11-26	TAM C. Christi	1394	Bethune-Cookman	1126	69	65	Southland	Mid-Eastern Athletic	Regular Season	-3.5	126	6
2010-11-26	Manhattan	1264	Texas A&M	1401	45	74	Metro Atlantic Athletic	Southeastern	Regular Season	16	129	7
2010-11-26	Virginia Tech	1439	Oklahoma St	1329	56	51	Atlantic Coast	Big 12	Regular Season	-3.5	138.5	7
2010-11-26	VA Commonwealth	1433	UCLA	1417	89	85	Atlantic 10	Pacific-12	Regular Season	0	145	4
2010-11-26	Ark Little Rock	1114	Louisiana Tech	1256	74	65	Sun Belt	Conference USA	Regular Season	0	138	13
2010-11-26	Utah Valley	1430	La Sierra University	-1	93	46	Western Athletic		Regular Season			
2010-11-26	Liberty	1251	MS Valley St	1290	64	58	Big South	Southwestern Athletic	Regular Season			
2010-11-26	Oakland	1324	Southern	1380	105	53	Horizon League	Southwestern Athletic	Regular Season	-23.5	143	3
