season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2015,11,1103,74,1420,57,H,0
2015,11,1104,82,1406,54,H,0
2015,11,1112,78,1291,55,H,0
2015,11,1113,86,1152,50,H,0
2015,11,1119,84,1102,78,H,0
2015,11,1120,83,1454,73,H,0
2015,11,1124,80,1270,39,H,0
2015,11,1129,81,1360,75,N,0
2015,11,1130,58,1306,50,H,0
2015,11,1135,70,1389,58,H,0
2015,11,1137,75,1265,72,H,0
2015,11,1138,69,1355,67,H,0
2015,11,1140,95,1253,90,H,0
2015,11,1143,91,1108,57,H,0
2015,11,1149,66,1279,65,A,1
2015,11,1153,52,1384,37,H,0
2015,11,1155,86,1197,41,H,0
2015,11,1158,75,1202,40,A,0
2015,11,1160,65,1180,48,H,0
2015,11,1163,66,1136,53,H,0
2015,11,1165,68,1206,60,A,0
2015,11,1166,104,1146,77,H,0
2015,11,1173,76,1105,52,H,0
2015,11,1177,72,1227,71,H,0
2015,11,1181,113,1342,44,H,0
2015,11,1184,76,1366,53,H,0
2015,11,1186,86,1411,62,H,0
2015,11,1189,64,1194,58,H,0
2015,11,1192,58,1386,57,A,0
2015,11,1193,71,1148,63,N,0
2015,11,1196,68,1456,45,H,0
2015,11,1203,92,1212,40,H,0
2015,11,1210,80,1208,73,H,0
2015,11,1211,104,1170,58,H,0
2015,11,1218,85,1115,57,H,0
2015,11,1219,100,1167,99,N,4
2015,11,1220,94,1239,61,H,0
2015,11,1222,77,1293,74,A,0
2015,11,1228,80,1204,71,H,0
2015,11,1231,116,1290,65,H,0
2015,11,1232,79,1237,66,A,1
2015,11,1233,78,1156,73,H,0
2015,11,1234,90,1214,56,H,0
2015,11,1235,93,1324,82,H,0
2015,11,1242,69,1364,59,H,0
2015,11,1243,98,1381,68,H,0
2015,11,1246,85,1213,45,H,0
2015,11,1248,77,1352,50,A,0
2015,11,1256,85,1380,76,A,0
2015,11,1257,81,1278,68,N,0
2015,11,1258,76,1369,66,H,0
2015,11,1266,79,1404,63,H,0
2015,11,1267,74,1240,55,H,0
2015,11,1268,82,1447,48,H,0
2015,11,1269,95,1373,87,H,0
2015,11,1274,84,1224,49,H,0
2015,11,1277,64,1298,59,A,0
2015,11,1280,66,1441,56,H,0
2015,11,1282,69,1281,61,A,0
2015,11,1283,64,1183,53,H,0
2015,11,1301,93,1238,58,H,0
2015,11,1307,79,1226,55,H,0
2015,11,1314,76,1300,60,H,0
2015,11,1321,65,1223,58,H,0
2015,11,1323,82,1127,39,H,0
2015,11,1326,92,1262,55,H,0
2015,11,1329,83,1368,55,H,0
2015,11,1332,107,1164,65,H,0
2015,11,1333,67,1349,54,H,0
2015,11,1334,73,1442,71,A,1
2015,11,1336,61,1288,48,H,0
2015,11,1337,89,1201,74,H,0
2015,11,1338,78,1310,45,H,0
2015,11,1343,64,1351,58,H,0
2015,11,1345,80,1359,40,H,0
2015,11,1346,88,1463,85,H,2
2015,11,1350,64,1347,46,H,0
2015,11,1357,71,1216,53,N,0
2015,11,1361,79,1169,58,H,0
2015,11,1365,89,1168,72,H,0
2015,11,1374,93,1249,54,H,0
2015,11,1376,81,1316,56,H,0
2015,11,1385,77,1312,58,H,0
2015,11,1390,74,1459,59,H,0
2015,11,1392,57,1162,56,H,0
2015,11,1393,89,1244,42,H,0
2015,11,1395,71,1341,54,H,0
2015,11,1396,40,1110,37,H,0
2015,11,1400,85,1295,50,H,0
2015,11,1401,109,1322,68,H,0
2015,11,1402,62,1370,53,A,0
2015,11,1403,71,1259,59,H,0
2015,11,1417,113,1286,78,H,0
2015,11,1424,60,1287,59,H,0
2015,11,1426,86,1133,75,A,0
2015,11,1428,90,1123,72,H,0
2015,11,1429,72,1451,61,H,0
2015,11,1430,60,1377,52,H,0
2015,11,1431,65,1450,52,H,0
2015,11,1433,85,1397,69,N,0
2015,11,1434,90,1190,76,H,0
2015,11,1437,77,1250,66,N,0
2015,11,1438,79,1241,51,A,0
2015,11,1439,71,1271,46,H,0
2015,11,1440,66,1154,65,N,0
2015,11,1448,80,1421,69,H,0
2015,11,1449,77,1354,59,H,0
2015,11,1452,64,1284,54,H,0
2015,11,1455,71,1308,54,H,0
2015,11,1458,62,1297,31,H,0
2015,11,1460,73,1125,70,H,0
2015,11,1462,93,1319,60,H,0
2015,12,1102,68,1154,55,N,0
2015,12,1119,92,1440,86,N,0
2015,12,1129,77,1258,69,A,0
2015,12,1132,77,1179,58,A,0
