season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2015,11,1103,74,1420,57,H,0,25,53,12,30,12,21,9,22,17,12,7,5,22,20,48,3,12,14,28,8,21,13,14,9,0,19
2015,11,1104,82,1406,54,H,0,29,63,7,23,17,19,12,20,17,8,14,9,16,18,50,7,21,11,15,13,19,9,21,2,2,20
2015,11,1112,78,1291,55,H,0,31,54,4,16,12,25,7,28,17,8,11,5,11,20,52,7,21,8,12,3,17,8,16,2,0,17
2015,11,1113,86,1152,50,H,0,30,49,7,16,19,34,8,25,17,11,7,4,22,17,53,3,20,13,23,12,20,7,17,5,3,30
2015,11,1119,84,1102,78,H,0,30,61,13,25,11,17,14,19,18,15,6,4,21,31,62,6,19,10,15,11,12,14,18,8,6,21
2015,11,1120,83,1454,73,H,0,24,52,7,14,28,39,6,23,9,12,6,1,17,30,59,7,21,6,14,7,24,13,12,7,5,28
2015,11,1124,80,1270,39,H,0,30,58,7,22,13,23,12,35,23,14,7,5,14,13,62,4,21,9,15,10,11,8,10,7,2,19
2015,11,1129,81,1360,75,N,0,23,49,6,17,29,44,8,25,11,13,0,3,30,20,50,5,19,30,44,10,24,9,14,4,5,33
2015,11,1130,58,1306,50,H,0,19,53,1,19,19,27,9,21,5,11,6,2,17,15,49,6,23,14,20,7,24,11,19,5,1,24
2015,11,1135,70,1389,58,H,0,20,41,6,13,24,30,8,25,8,14,5,3,17,22,61,6,26,8,12,16,22,6,13,8,1,27
2015,11,1137,75,1265,72,H,0,25,60,7,20,18,24,13,27,15,6,4,2,11,24,57,12,28,12,12,3,13,12,7,5,5,22
2015,11,1138,69,1355,67,H,0,22,68,1,9,24,30,14,31,8,8,8,7,25,24,60,5,18,14,29,12,29,12,13,3,4,23
2015,11,1140,95,1253,90,H,0,28,54,11,24,28,33,7,24,19,17,6,3,22,33,61,13,22,11,20,9,17,15,18,10,3,25
2015,11,1143,91,1108,57,H,0,37,71,10,24,7,13,15,25,26,8,6,7,21,18,57,3,15,18,28,11,12,4,10,3,3,15
2015,11,1149,66,1279,65,A,1,22,67,8,35,14,27,16,27,15,16,10,0,25,19,63,6,30,21,32,13,26,12,17,7,8,24
2015,11,1153,52,1384,37,H,0,21,46,2,14,8,11,7,25,12,17,11,4,18,12,40,4,16,9,18,5,15,7,21,7,0,14
2015,11,1155,86,1197,41,H,0,32,66,7,25,15,26,13,26,21,5,8,6,16,16,48,0,7,9,20,9,20,6,23,3,1,26
2015,11,1158,75,1202,40,A,0,31,59,11,21,2,4,7,27,20,7,8,4,27,10,41,2,12,18,35,11,24,2,16,0,1,13
2015,11,1160,65,1180,48,H,0,22,52,4,13,17,24,7,35,10,13,6,3,16,16,55,7,29,9,14,6,22,7,12,5,5,23
2015,11,1163,66,1136,53,H,0,25,54,6,19,10,11,5,32,12,10,5,6,13,19,56,7,21,8,12,4,19,7,10,4,2,15
2015,11,1165,68,1206,60,A,0,21,47,9,18,17,28,4,38,9,16,1,3,21,21,68,7,27,11,21,9,29,11,5,5,4,24
2015,11,1166,104,1146,77,H,0,35,72,9,26,25,30,16,26,17,13,9,2,20,26,56,11,24,14,20,5,8,12,20,4,4,30
2015,11,1173,76,1105,52,H,0,24,51,8,20,20,29,11,26,17,11,6,2,19,16,49,7,19,13,18,7,11,10,12,3,3,22
2015,11,1177,72,1227,71,H,0,27,61,6,28,12,24,11,20,14,8,10,4,22,21,57,5,19,24,29,15,31,7,13,6,2,22
2015,11,1181,113,1342,44,H,0,42,69,16,31,13,16,16,29,30,9,12,4,17,18,52,1,12,7,11,7,3,7,16,6,1,22
2015,11,1184,76,1366,53,H,0,25,63,5,26,21,25,13,15,14,14,17,3,19,21,44,2,8,9,20,12,23,13,31,9,6,24
2015,11,1186,86,1411,62,H,0,32,64,15,34,7,15,13,29,15,15,7,9,23,18,60,4,25,22,31,15,23,7,14,8,1,15
2015,11,1189,64,1194,58,H,0,22,52,3,12,17,22,5,23,4,11,7,1,23,18,48,5,16,17,24,6,27,6,16,4,3,23
2015,11,1192,58,1386,57,A,0,22,56,6,19,8,13,8,17,14,7,10,0,17,22,55,5,20,8,14,18,35,16,16,4,5,14
2015,11,1193,71,1148,63,N,0,22,55,6,20,21,29,11,27,15,7,2,3,20,19,55,5,15,20,24,8,21,12,8,3,2,23
2015,11,1196,68,1456,45,H,0,25,53,6,17,12,15,6,32,13,10,8,1,11,18,57,2,22,7,9,7,24,4,12,2,2,14
2015,11,1203,92,1212,40,H,0,35,63,6,20,16,24,16,31,18,11,10,7,14,15,53,2,10,8,16,9,6,5,16,7,3,22
2015,11,1210,80,1208,73,H,0,28,63,7,19,17,27,14,25,13,12,7,5,18,26,62,5,20,16,21,9,17,16,12,7,5,23
2015,11,1211,104,1170,58,H,0,36,66,10,24,22,32,13,29,24,12,12,6,18,20,56,5,15,13,20,5,11,5,21,7,1,29
