seed,x,y
W01,9.8,64.5
W02,9.8,36.5
W03,9.8,44.5
W04,9.8,52.5
W05,9.8,56.5
W06,9.8,48.5
W07,9.8,40.5
W08,9.8,60.5
W09,9.8,58.5
W10,9.8,38.5
W11,9.8,46.5
W11a,0,47.5
W11b,0,45.5
W12,9.8,54.5
W13,9.8,50.5
W14,9.8,42.5
W15,9.8,34.5
W16,9.8,62.5
W16a,0,63.5
W16b,0,61.5
Y01,209.8,64.5
Y02,209.8,36.5
Y03,209.8,44.5
Y04,209.8,52.5
Y05,209.8,56.5
Y06,209.8,48.5
Y07,209.8,40.5
Y08,209.8,60.5
Y09,209.8,58.5
Y10,209.8,38.5
Y11,209.8,46.5
Y12,209.8,54.5
Y12a,219.8,55.0
Y12b,219.8,53.0
Y13,209.8,50.5
Y14,209.8,42.5
Y15,209.8,34.5
Y16,209.8,62.5
Y16a,219.8,63.0
Y16b,219.8,61.0
X01,9.8,30.5
X02,9.8,2.5
X03,9.8,10.5
X04,9.8,18.5
X05,9.8,22.5
X06,9.8,14.5
X07,9.8,6.5
X08,9.8,26.5
X09,9.8,24.5
X10,9.8,4.5
X11,9.8,12.5
X11a,0,13.5
X11b,0,11.5
X12,9.8,20.5
X12a,0,21.5
X12b,0,19.5
X13,9.8,16.5
X14,9.8,8.5
X15,9.8,0.5
X16,9.8,28.5
X16a,0,29.5
X16b,0,27.5
Z01,209.8,30.5
Z02,209.8,2.5
Z03,209.8,10.5
Z04,209.8,18.5
Z05,209.8,22.5
Z06,209.8,14.5
Z07,209.8,6.5
Z08,209.8,26.5
Z09,209.8,24.5
Z10,209.8,4.5
Z11,209.8,12.5
Z11a,219.8,13.5
Z11b,219.8,11.5
Z12,209.8,20.5
Z13,209.8,16.5
Z14,209.8,8.5
Z15,209.8,0.5
Z16,209.8,28.5
Z16a,219.8,29.5
Z16b,219.8,27.5
