slot,round,region,x,y
W11,0,W,9.8,46.5
W12,0,W,9.8,54.5
W13,0,W,9.8,50.5
W14,0,W,9.8,42.5
W16,0,W,9.8,62.5
X11,0,X,9.8,12.5
X12,0,X,9.8,20.5
X13,0,X,9.8,16.5
X14,0,X,9.8,8.5
X16,0,X,9.8,28.5
Y11,0,Y,209.8,46.5
Y12,0,Y,209.8,54.5
Y13,0,Y,209.8,50.5
Y14,0,Y,209.8,42.5
Y16,0,Y,209.8,62.5
Z11,0,Z,209.8,12.5
Z12,0,Z,209.8,20.5
Z13,0,Z,209.8,16.5
Z14,0,Z,209.8,8.5
Z16,0,Z,209.8,28.5
R1W2,1,W,29.8,35.5
R1W7,1,W,29.8,39.5
R1W3,1,W,29.8,43.5
R1W6,1,W,29.8,47.5
R1W4,1,W,29.8,51.5
R1W5,1,W,29.8,55.5
R1W8,1,W,29.8,59.5
R1W1,1,W,29.8,63.5
R1X2,1,X,29.8,1.5
R1X7,1,X,29.8,5.5
R1X3,1,X,29.8,9.5
R1X6,1,X,29.8,13.5
R1X4,1,X,29.8,17.5
R1X5,1,X,29.8,21.5
R1X8,1,X,29.8,25.5
R1X1,1,X,29.8,29.5
R1Y2,1,Y,189.8,35.5
R1Y7,1,Y,189.8,39.5
R1Y3,1,Y,189.8,43.5
R1Y6,1,Y,189.8,47.5
R1Y4,1,Y,189.8,51.5
R1Y5,1,Y,189.8,55.5
R1Y8,1,Y,189.8,59.5
R1Y1,1,Y,189.8,63.5
R1Z2,1,Z,189.8,1.5
R1Z7,1,Z,189.8,5.5
R1Z3,1,Z,189.8,9.5
R1Z6,1,Z,189.8,13.5
R1Z4,1,Z,189.8,17.5
R1Z5,1,Z,189.8,21.5
R1Z8,1,Z,189.8,25.5
R1Z1,1,Z,189.8,29.5
R2W2,2,W,49.8,37.5
R2W3,2,W,49.8,45.5
R2W4,2,W,49.8,53.5
R2W1,2,W,49.8,61.5
R2X2,2,X,49.8,3.5
R2X3,2,X,49.8,11.5
R2X4,2,X,49.8,19.5
R2X1,2,X,49.8,27.5
R2Y2,2,Y,169.8,37.5
R2Y3,2,Y,169.8,45.5
R2Y4,2,Y,169.8,53.5
R2Y1,2,Y,169.8,61.5
R2Z2,2,Z,169.8,3.5
R2Z3,2,Z,169.8,11.5
R2Z4,2,Z,169.8,19.5
R2Z1,2,Z,169.8,27.5
R3W2,3,W,69.8,41.5
R3W1,3,W,69.8,57.5
R3X2,3,X,69.8,7.5
R3X1,3,X,69.8,23.5
R3Y2,3,Y,149.8,41.5
R3Y1,3,Y,149.8,57.5
R3Z2,3,Z,149.8,7.5
R3Z1,3,Z,149.8,23.5
R4W1,4,W,89.8,49.5
R4X1,4,X,89.8,15.5
R4Y1,4,Y,129.8,49.5
R4Z1,4,Z,129.8,15.5
R5WX,5,WX,109.8,37.5
R5YZ,5,YZ,109.8,27.5
R6CH,6,WXYZ,109.8,32.5
