season,seed,team
2015,W01,1438
2015,W02,1242
2015,W03,1268
2015,W04,1124
2015,W05,1116
2015,W06,1207
2015,W07,1234
2015,W08,1385
2015,W09,1173
2015,W10,1433
2015,W11,1329
2015,W12,1459
2015,W13,1434
2015,W14,1107
2015,W15,1318
2015,W16a,1248
2015,W16b,1264
2015,X01,1181
2015,X02,1211
2015,X03,1235
2015,X04,1428
2015,X05,1455
2015,X06,1374
2015,X07,1361
2015,X08,1172
2015,X09,1462
2015,X10,1279
2015,X11,1129
2015,X12,1372
2015,X13,1413
2015,X14,1308
2015,X15,1157
2015,X16,1316
2015,Y01,1246
2015,Y02,1458
2015,Y03,1323
2015,Y04,1320
2015,Y05,1314
2015,Y06,1139
2015,Y07,1332
2015,Y08,1153
2015,Y09,1301
2015,Y10,1261
2015,Y11a,1396
2015,Y11b,1400
2015,Y12,1256
2015,Y13,1463
2015,Y14,1141
2015,Y15,1125
2015,Y16a,1285
2015,Y16b,1411
2015,Z01,1437
2015,Z02,1112
2015,Z03,1328
2015,Z04,1257
2015,Z05,1452
2015,Z06,1344
2015,Z07,1277
2015,Z08,1326
2015,Z09,1208
2015,Z10,1161
2015,Z11,1345
2015,Z12a,1140
2015,Z12b,1231
2015,Z13,1209
2015,Z14,1355
2015,Z15,1300
2015,Z16,1383
